,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lincoln,1,us,1535686500,95,40.8,-96.67,72.63,5.82
1,Torbay,90,ca,1535684400,100,47.66,-52.73,60.8,12.75
2,Punta Arenas,20,cl,1535688000,86,-53.16,-70.91,33.8,14.99
3,Shingu,75,jp,1535684400,83,33.72,135.99,84.2,4.7
4,Bossangoa,80,cf,1535689111,96,6.5,17.45,69.2,2.62
5,Provideniya,75,ru,1535686200,76,64.42,-173.23,48.2,6.71
6,Rikitea,20,pf,1535688908,100,-23.12,-134.97,68.93,20.07
7,Vaini,88,in,1535689111,99,15.34,74.49,70.73,5.19
8,Ushtobe,0,kz,1535689111,77,45.25,77.98,60.11,4.74
9,Vila Velha,75,br,1535688000,74,-3.71,-38.6,78.8,17.22
10,Kavieng,64,pg,1535689112,100,-2.57,150.8,81.89,5.3
11,Kahului,40,us,1535687760,74,20.89,-156.47,77.5,9.17
12,Casablanca,0,ma,1535686200,94,33.6,-7.62,68.0,1.12
13,Port Elizabeth,90,us,1535687760,78,39.31,-74.98,78.44,3.36
14,Myitkyina,76,mm,1535689113,95,25.38,97.4,77.93,3.18
15,Ushuaia,40,ar,1535684400,100,-54.81,-68.31,37.4,11.41
16,Wum,92,cm,1535689114,100,6.39,10.08,66.59,2.62
17,Kralendijk,8,an,1535687700,83,12.15,-68.27,82.4,19.46
18,Busselton,64,au,1535689094,100,-33.64,115.35,57.77,7.09
19,Tomari,92,ru,1535689114,100,47.76,142.06,59.03,12.35
20,Grafenau,48,de,1535689114,87,48.86,13.39,48.77,2.73
21,Pervomayskiy,0,ru,1535689115,75,53.24,40.29,59.84,6.42
22,Avarua,75,ck,1535688000,73,-21.21,-159.78,71.6,14.99
23,Creutzwald,0,fr,1535687760,76,49.2,6.69,54.64,3.36
24,Mataura,64,nz,1535689096,81,-46.19,168.86,52.1,8.99
25,Jamestown,92,au,1535689116,98,-33.21,138.6,49.85,22.08
26,Caernarfon,0,gb,1535683800,81,53.14,-4.27,48.2,5.82
27,Aljezur,0,pt,1535689116,95,37.31,-8.8,67.22,14.03
28,Kapaa,40,us,1535687760,74,22.08,-159.32,82.17,18.34
29,Castro,0,cl,1535689099,98,-42.48,-73.76,30.77,3.18
30,Chara,20,gr,1535685600,72,39.42,22.43,68.0,5.82
31,Haimen,64,cn,1535689117,70,31.87,121.18,89.63,6.76
32,Emba,20,cy,1535686200,73,34.81,32.42,74.08,8.05
33,Egvekinot,80,ru,1535688552,60,66.32,-179.17,57.23,4.07
34,Foso,56,gh,1535689118,95,5.7,-1.29,69.65,5.19
35,Saint-Pierre,92,fr,1535686200,76,48.95,4.24,58.21,11.41
36,Victoria,75,my,1535688000,70,5.28,115.24,89.8,2.24
37,Sola,0,no,1535685600,93,58.89,5.65,51.8,13.35
38,Faanui,0,pf,1535689120,100,-16.48,-151.75,78.65,27.0
39,Avanigadda,40,in,1535688000,70,16.02,80.92,87.8,4.7
40,Bud,64,no,1535685600,87,62.91,6.91,43.97,8.05
41,Port Hawkesbury,1,ca,1535684400,82,45.62,-61.36,59.0,5.82
42,Nenjiang,0,cn,1535689121,78,49.17,125.23,72.17,7.65
43,Mezen,0,ru,1535689101,68,65.85,44.24,52.28,7.65
44,Hiji,75,jp,1535688000,94,33.37,131.53,84.6,9.17
45,Cape Town,75,za,1535684400,93,-33.93,18.42,55.4,14.99
46,Tautira,40,pf,1535688000,61,-17.73,-149.15,78.8,8.05
47,Katsuura,20,jp,1535688000,62,33.93,134.5,89.6,17.22
48,Kenai,40,us,1535687760,71,60.55,-151.26,55.49,23.04
49,Atuona,0,pf,1535689123,100,-9.8,-139.03,79.19,20.07
50,Leningradskiy,20,ru,1535689123,75,69.38,178.42,46.07,12.8
51,Carnarvon,48,za,1535689123,36,-30.97,22.13,42.74,2.95
52,Mount Isa,40,au,1535688000,25,-20.73,139.49,87.8,10.29
53,Necochea,36,ar,1535689124,67,-38.55,-58.74,44.36,12.01
54,Fairbanks,90,us,1535684280,88,64.84,-147.72,47.93,10.29
55,Tessalit,44,ml,1535689125,37,20.2,1.01,77.75,4.74
56,Gobabis,0,na,1535689125,47,-22.45,18.97,51.83,12.24
57,Chokurdakh,32,ru,1535689125,50,70.62,147.9,65.96,15.48
58,Port Alfred,36,za,1535689126,91,-33.59,26.89,62.45,5.64
59,Rajshahi,92,bd,1535688903,100,24.37,88.59,79.28,6.42
60,Ilulissat,92,gl,1535683800,93,69.22,-51.1,35.6,2.24
61,Neustrelitz,92,de,1535689126,90,53.36,13.06,57.14,20.51
62,Jiwani,36,pk,1535689127,90,25.05,61.74,81.17,4.85
63,Saint George,20,gr,1535685600,72,39.45,22.34,68.0,5.82
64,Maceio,40,br,1535688000,83,-9.67,-35.74,71.6,3.36
65,Albany,75,us,1535687640,64,42.65,-73.75,63.12,6.93
66,Padang,20,id,1535689128,100,-0.92,100.36,81.8,6.64
67,Bassila,92,bj,1535689128,99,9.0,1.66,70.73,3.74
68,Hilo,90,us,1535687760,66,19.71,-155.08,68.85,9.17
69,Kisangani,68,cd,1535689129,100,0.52,25.21,69.29,2.06
70,Iwaki,75,jp,1535688000,88,37.05,140.89,75.2,5.82
71,Kununurra,0,au,1535686200,33,-15.77,128.74,87.8,8.05
72,Nanortalik,48,gl,1535689097,97,60.14,-45.24,39.95,39.41
73,Cherskiy,0,ru,1535689129,50,68.75,161.3,58.31,7.54
74,Cidreira,92,br,1535689130,95,-30.17,-50.22,64.25,3.18
75,Tiksi,80,ru,1535689130,87,71.64,128.87,55.43,14.25
